text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
asswipe;ass;;;sexual anatomy / sexual acts;;;1.6;Strong
azzhole;ass;;;sexual anatomy / sexual acts;;;1.6;Strong
bangbros;bang;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.6;Strong
bater;masturbate;;;sexual anatomy / sexual acts;;;1.6;Strong
bitchasses;bitch;ass;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
bitchfuck;fuck;bitch;;sexual anatomy / sexual acts;;;2.4;Strong
bitchhole;bitch;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
bitchtits;bitch;;;sexual anatomy / sexual acts;;;2.2;Strong
bitchy ass;bitch;ass;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
BJ;blowjob;;;sexual anatomy / sexual acts;;;1.6;Strong
blow job;blowjob;;;sexual anatomy / sexual acts;;;2;Strong
blumpkin boy;blumpkin;;;sexual anatomy / sexual acts;;;2.4;Strong
bum-driller;bum;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
butt fuck;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
butt fucker;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
butt-fucker;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
butt-fuckers;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
butt-fucking-bandit;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;2.6;Severe
butt-munchers;butt;;;sexual anatomy / sexual acts;;;2;Strong
buttfuck;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
buttfucker;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
finger;finger;;;sexual anatomy / sexual acts;;;1;Mild
buttfuckers;fuck;butt;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
butthole boy;butt;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.6;Severe
fingerpop;finger;;;sexual anatomy / sexual acts;;;1.4;Mild
c*nt;cunt;;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
c*ntface;cunt;;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
c*nty;cunt;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
c0ckhead;cock;;;sexual anatomy / sexual acts;;;2;Strong
c0cks;cock;;;sexual anatomy / sexual acts;;;1.6;Strong
c0cksuccer;cock;;;sexual anatomy / sexual acts;;;2;Strong
c0cksucked;cock;;;sexual anatomy / sexual acts;;;2;Strong
c0cksucker;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
c0cksuckers;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
c0xux0r;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
carpet muncher;carpet muncher;;;sexual anatomy / sexual acts;;;2.4;Strong
carpetmuncher;carpet muncher;;;sexual anatomy / sexual acts;;;2.6;Severe
carpetmunching;carpet muncher;;;sexual anatomy / sexual acts;;;1.6;Strong
forked;fuck;;;sexual anatomy / sexual acts;;;1;Mild
cawk muncher;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cawkmuncher;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cawksucker;cock;;;sexual anatomy / sexual acts;;;2.6;Severe
chocha;chocha;;;sexual anatomy / sexual acts;;;2.4;Strong
clitlickers;clit;;;sexual anatomy / sexual acts;;;2;Strong
clusterfuck;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
clusterfucked;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
clusterfucker;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
clusterfucking;fuck;;;sexual anatomy / sexual acts;;;2;Strong
clusterfucks;fuck;;;sexual anatomy / sexual acts;;;2;Strong
cobb knobbler;knob;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
cock head;cock;;;sexual anatomy / sexual acts;;;2;Strong
cock jockey;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cock knocker;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cock licker;cock;;;sexual anatomy / sexual acts;;;2;Strong
cock munch;cock;;;sexual anatomy / sexual acts;;;2;Strong
cock rider;cock;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
cock smoker;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cock snot;cock;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
